date,interval_days,product_id,sku_number,product_name,category_id,category_name,supplier_id,supplier_name,supplier_company,supplier_location,supplier_reliability_score,lead_time_days,minimum_order_quantity,cost_price,selling_price,reference_current_stock_from_pdf,reorder_level,max_stock_level,tourist_oriented_score,seasonal_sensitivity,is_peak_tourist_season,season,month,day_of_week,weekend_flag,holiday_flag,opening_stock,quantity_sold,quantity_purchased,current_stock,stockout_flag,avg_daily_sales_interval,days_until_stockout_est,sales_value,purchase_value,inventory_value,gross_margin_value,suggested_restock_qty
2024-02-14,5,12,SK-100,Himalayan Herbal Incense,9,Tibetan Incense,4,Dipendra Dangol,Lovely Incense,Thamel,0.93,10,10,350.0,1000.0,15,5,34,0.78,1.08,0,Winter,2,Wednesday,0,0,25,16,21,30,0,3.2,9.4,16000.0,7350.0,10500.0,10400.0,25
2024-02-14,5,13,SK-101,Tibetan Monastery Incense,9,Tibetan Incense,4,Dipendra Dangol,Lovely Incense,Thamel,0.93,10,10,350.0,1000.0,20,5,42,0.78,1.08,0,Winter,2,Wednesday,0,0,29,22,40,47,0,4.4,10.7,22000.0,14000.0,16450.0,14300.0,35
2024-02-14,5,14,SK-102,Tibetan Peace Incense,9,Tibetan Incense,4,Dipendra Dangol,Lovely Incense,Thamel,0.93,10,10,185.0,800.0,10,3,26,0.78,1.08,0,Winter,2,Wednesday,0,0,14,14,30,30,1,2.8,10.7,11200.0,5550.0,5550.0,8610.0,26
2024-02-14,5,15,SK-103,Ribo Sangtsheo Incense,9,Tibetan Incense,4,Dipendra Dangol,Lovely Incense,Thamel,0.93,10,10,184.98,800.0,14,3,32,0.78,1.08,0,Winter,2,Wednesday,0,0,18,9,0,9,0,1.8,5.0,7200.0,0.0,1664.82,5535.18,0
2024-02-14,5,16,SK-104,The Earth Incense,9,Tibetan Incense,4,Dipendra Dangol,Lovely Incense,Thamel,0.93,10,10,185.0,800.0,17,3,37,0.78,1.08,0,Winter,2,Wednesday,0,0,17,11,40,46,0,2.2,20.9,8800.0,7400.0,8510.0,6765.0,31
2024-02-14,5,17,SK-106,Traditional Zhempo Incense,9,Tibetan Incense,4,Dipendra Dangol,Lovely Incense,Thamel,0.93,10,10,110.0,500.0,8,5,22,0.78,1.08,0,Winter,2,Wednesday,0,0,15,14,30,31,0,2.8,11.1,7000.0,3300.0,3410.0,5460.0,21
2024-02-14,5,18,SK-200,Jam Note Tiger Bowl Set,20,Singing Bowl,5,Niraj Raj Shrestha,Tibetan Singing Bowls Manufacture and Wholesaler,Newroad,0.91,15,30,7000.0,150000.0,4,1,36,1.0,1.3,0,Winter,2,Wednesday,0,0,6,1,0,5,0,0.2,25.0,150000.0,0.0,35000.0,143000.0,0
2024-02-14,5,19,SK-201,Jam Plain Bowl,20,Singing Bowl,5,Niraj Raj Shrestha,Tibetan Singing Bowls Manufacture and Wholesaler,Newroad,0.91,15,30,1200.0,18000.0,16,7,55,1.0,1.3,0,Winter,2,Wednesday,0,0,20,2,0,18,0,0.4,45.0,36000.0,0.0,21600.0,33600.0,0
2024-02-14,5,20,SK-202,Jam Super Fine Bowl,20,Singing Bowl,5,Niraj Raj Shrestha,Tibetan Singing Bowls Manufacture and Wholesaler,Newroad,0.91,15,30,1400.0,20000.0,2,1,33,1.0,1.3,0,Winter,2,Wednesday,0,0,7,2,0,5,0,0.4,12.5,40000.0,0.0,7000.0,37200.0,0
2024-02-14,5,21,SK-203,Jam Itching Carving Fine Bowl,20,Singing Bowl,5,Niraj Raj Shrestha,Tibetan Singing Bowls Manufacture and Wholesaler,Newroad,0.91,15,30,5000.0,100000.0,3,0,34,1.0,1.3,0,Winter,2,Wednesday,0,0,8,0,0,8,0,0.0,999.0,0.0,0.0,40000.0,0.0,0
